scenario,policy,seeds,num_runs,timeout_ms,window_id,window_start_read,window_end_read,disk8_state,disk9_state,active_slow_disks,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max
dynamic_degradation,vanilla_ec,42..71,30,15,0,0,5000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.5,17,18.8,18.4,19.1,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_degradation,vanilla_ec,42..71,30,15,1,5000,10000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.6,16.9,18.8,18.4,19.3,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_degradation,vanilla_ec,42..71,30,15,2,10000,15000,healthy,healthy,0,12.5,12.3,12.6,16.8,16.7,17,18.8,18.6,19,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_degradation,vanilla_ec,42..71,30,15,3,15000,20000,mild_slow,healthy,1,15.7,15.4,16,34.9,34,35.2,42.55,41,44.6,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_degradation,vanilla_ec,42..71,30,15,4,20000,25000,mild_slow,healthy,1,15.8,15.5,16,34.9,34.5,35.6,43.2,41,44.8,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_degradation,vanilla_ec,42..71,30,15,5,25000,30000,mild_slow,healthy,1,15.75,15.6,16,34.9,34.2,35.6,43.25,40.4,46.5,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_degradation,vanilla_ec,42..71,30,15,6,30000,35000,severe_slow,healthy,1,25.2,19.4,29.6,81.8,80.6,83.5,548.9,538.9,555,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_degradation,vanilla_ec,42..71,30,15,7,35000,40000,severe_slow,healthy,1,23.95,19.4,29.1,82,80.1,84,549,534.5,554.4,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_degradation,vanilla_ec,42..71,30,15,8,40000,45000,severe_slow,healthy,1,24.55,19.3,29.6,81.6,80.6,83.3,547.2,530.6,555.9,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_degradation,vanilla_ec,42..71,30,15,9,45000,50000,recovery,mild_slow,1,16.2,15.8,16.6,35.1,34.3,35.7,43.95,41.9,82.8,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
