scenario_id,scenario,strategy_id,strategy_kind,policy,seeds,num_runs,p99_ms_median,post_warmup_windowed_p99_ms_median,severe_window_p99_ms_median,bandwidth_overhead_pct_median,read_bypass_coverage_pct_median,migration_true_positives_total,migration_false_positives_total,migration_false_negatives_total,migration_precision_pct,migration_recall_pct
overlap_4pct,dynamic_overlap_100d_4pct_hdd,late_binding,baseline,late_binding,42..71,30,23.5,26.5,27.1,25,-1,0,0,0,-1,-1
overlap_4pct,dynamic_overlap_100d_4pct_hdd,migration_disabled,disabled,health_ec,42..71,30,24.4,24.2,27.5,0.6,90.9,0,0,36673,-1,0
overlap_4pct,dynamic_overlap_100d_4pct_hdd,t28_default,default,health_ec,42..71,30,21.3,22.8,25,0.5,88.15,179,0,36368,100,0.48978
overlap_4pct,dynamic_overlap_100d_4pct_hdd,threshold_d2_a005,threshold_alpha,health_ec,42..71,30,20,20.9,21.2,0.3,82.15,1199,0,34675,100,3.342253
overlap_4pct,dynamic_overlap_100d_4pct_hdd,threshold_d2_a010,threshold_alpha,health_ec,42..71,30,20,20.8,21.1,0.3,81.2,1241,0,34474,100,3.474731
overlap_4pct,dynamic_overlap_100d_4pct_hdd,timeout_degraded_read,baseline,timeout_degraded_read,42..71,30,27.4,28.2,28.8,4.5,-1,0,0,0,-1,-1
overlap_4pct,dynamic_overlap_100d_4pct_hdd,vanilla_ec,baseline,vanilla_ec,42..71,30,55,63.35,64.25,0,-1,0,0,0,-1,-1
realistic_2pct,dynamic_realistic_100d_2pct_hdd,late_binding,baseline,late_binding,42..71,30,15.8,15.8,15.8,25,-1,0,0,0,-1,-1
realistic_2pct,dynamic_realistic_100d_2pct_hdd,migration_disabled,disabled,health_ec,42..71,30,19,18.9,18.9,0.5,92.2,0,0,17801,-1,0
realistic_2pct,dynamic_realistic_100d_2pct_hdd,t28_default,default,health_ec,42..71,30,19,18.9,18.9,0.3,88.95,120,0,17551,100,0.679079
realistic_2pct,dynamic_realistic_100d_2pct_hdd,threshold_d2_a005,threshold_alpha,health_ec,42..71,30,19,18.9,18.9,0.2,83.25,592,0,16514,100,3.460774
realistic_2pct,dynamic_realistic_100d_2pct_hdd,threshold_d2_a010,threshold_alpha,health_ec,42..71,30,19,18.9,18.9,0.2,82.5,620,1,16369,99.838969,3.64942
realistic_2pct,dynamic_realistic_100d_2pct_hdd,timeout_degraded_read,baseline,timeout_degraded_read,42..71,30,22.3,23.2,25.3,4.4,-1,0,0,0,-1,-1
realistic_2pct,dynamic_realistic_100d_2pct_hdd,vanilla_ec,baseline,vanilla_ec,42..71,30,30.9,27.65,63.6,0,-1,0,0,0,-1,-1
stress_20pct,dynamic_stress_100d_20pct_hdd,late_binding,baseline,late_binding,42..71,30,64.1,32.6,75.6,25,-1,0,0,0,-1,-1
stress_20pct,dynamic_stress_100d_20pct_hdd,migration_disabled,disabled,health_ec,42..71,30,65.7,36.4,77.3,1.3,75.65,0,0,176596,-1,0
stress_20pct,dynamic_stress_100d_20pct_hdd,t28_default,default,health_ec,42..71,30,62.8,36,75.7,1.1,72.15,624,0,175536,100,0.354223
stress_20pct,dynamic_stress_100d_20pct_hdd,threshold_d2_a005,threshold_alpha,health_ec,42..71,30,56.9,35.2,73.1,0.7,61.95,3759,0,169362,100,2.171314
stress_20pct,dynamic_stress_100d_20pct_hdd,threshold_d2_a010,threshold_alpha,health_ec,42..71,30,55.7,35,72.75,0.7,59.95,4239,1,168062,99.976415,2.460229
stress_20pct,dynamic_stress_100d_20pct_hdd,timeout_degraded_read,baseline,timeout_degraded_read,42..71,30,67,36.1,79,5.4,-1,0,0,0,-1,-1
stress_20pct,dynamic_stress_100d_20pct_hdd,vanilla_ec,baseline,vanilla_ec,42..71,30,78.5,39.8,98.65,0,-1,0,0,0,-1,-1
